曲线名称,曲线类型,日期,标准期限(年),收益率(%),N(年),K(年),期限描述
上海清算所国债收益率曲线,远期的即期,2026-02-06,0,2.0205,3,7,7Y
上海清算所国债收益率曲线,远期的即期,2026-02-06,0,1.9707,3,6,6Y
上海清算所国债收益率曲线,远期的即期,2026-02-06,0,1.9321,3,5,5Y
上海清算所国债收益率曲线,远期的即期,2026-02-06,0,1.8844,3,4,4Y
上海清算所国债收益率曲线,远期的即期,2026-02-06,0,1.859,3,3,3Y
上海清算所国债收益率曲线,远期的即期,2026-02-06,0,1.8377,3,2,2Y
上海清算所国债收益率曲线,远期的即期,2026-02-06,0,1.7052,3,1,1Y
上海清算所国债收益率曲线,远期的即期,2026-02-06,0,2.4377,4,26,26Y
上海清算所国债收益率曲线,远期的即期,2026-02-06,0,2.4441,4,25,25Y
上海清算所国债收益率曲线,远期的即期,2026-02-06,0,2.4511,4,24,24Y
上海清算所国债收益率曲线,远期的即期,2026-02-06,0,2.4587,4,23,23Y
上海清算所国债收益率曲线,远期的即期,2026-02-06,0,2.4669,4,22,22Y
上海清算所国债收益率曲线,远期的即期,2026-02-06,0,2.4758,4,21,21Y
上海清算所国债收益率曲线,远期的即期,2026-02-06,0,2.4855,4,20,20Y
上海清算所国债收益率曲线,远期的即期,2026-02-06,0,2.4962,4,19,19Y
上海清算所国债收益率曲线,远期的即期,2026-02-06,0,2.5079,4,18,18Y
上海清算所国债收益率曲线,远期的即期,2026-02-06,0,2.5209,4,17,17Y
上海清算所国债收益率曲线,远期的即期,2026-02-06,0,2.5354,4,16,16Y
上海清算所国债收益率曲线,远期的即期,2026-02-06,0,2.5415,4,15,15Y
上海清算所国债收益率曲线,远期的即期,2026-02-06,0,2.5321,4,14,14Y
上海清算所国债收益率曲线,远期的即期,2026-02-06,0,2.5115,4,13,13Y
上海清算所国债收益率曲线,远期的即期,2026-02-06,0,2.4844,4,12,12Y
上海清算所国债收益率曲线,远期的即期,2026-02-06,0,2.4553,4,11,11Y
上海清算所国债收益率曲线,远期的即期,2026-02-06,0,2.4073,4,10,10Y
上海清算所国债收益率曲线,远期的即期,2026-02-06,0,2.3301,4,9,9Y
上海清算所国债收益率曲线,远期的即期,2026-02-06,0,2.2382,4,8,8Y
上海清算所国债收益率曲线,远期的即期,2026-02-06,0,2.1469,4,7,7Y
上海清算所国债收益率曲线,远期的即期,2026-02-06,0,2.0731,4,6,6Y
上海清算所国债收益率曲线,远期的即期,2026-02-06,0,2.0239,4,5,5Y
上海清算所国债收益率曲线,远期的即期,2026-02-06,0,1.9889,4,4,4Y
上海清算所国债收益率曲线,远期的即期,2026-02-06,0,1.9442,4,3,3Y
上海清算所国债收益率曲线,远期的即期,2026-02-06,0,1.936,4,2,2Y
上海清算所国债收益率曲线,远期的即期,2026-02-06,0,1.9703,4,1,1Y
上海清算所国债收益率曲线,远期的即期,2026-02-06,0,2.4564,5,25,25Y
上海清算所国债收益率曲线,远期的即期,2026-02-06,0,2.4639,5,24,24Y
上海清算所国债收益率曲线,远期的即期,2026-02-06,0,2.472,5,23,23Y
上海清算所国债收益率曲线,远期的即期,2026-02-06,0,2.4809,5,22,22Y
上海清算所国债收益率曲线,远期的即期,2026-02-06,0,2.4906,5,21,21Y
上海清算所国债收益率曲线,远期的即期,2026-02-06,0,2.5011,5,20,20Y
上海清算所国债收益率曲线,远期的即期,2026-02-06,0,2.5127,5,19,19Y
上海清算所国债收益率曲线,远期的即期,2026-02-06,0,2.5255,5,18,18Y
上海清算所国债收益率曲线,远期的即期,2026-02-06,0,2.5396,5,17,17Y
上海清算所国债收益率曲线,远期的即期,2026-02-06,0,2.5554,5,16,16Y
上海清算所国债收益率曲线,远期的即期,2026-02-06,0,2.5732,5,15,15Y
上海清算所国债收益率曲线,远期的即期,2026-02-06,0,2.5824,5,14,14Y
上海清算所国债收益率曲线,远期的即期,2026-02-06,0,2.5754,5,13,13Y
上海清算所国债收益率曲线,远期的即期,2026-02-06,0,2.5568,5,12,12Y
上海清算所国债收益率曲线,远期的即期,2026-02-06,0,2.5313,5,11,11Y
上海清算所国债收益率曲线,远期的即期,2026-02-06,0,2.5039,5,10,10Y
上海清算所国债收益率曲线,远期的即期,2026-02-06,0,2.456,5,9,9Y
上海清算所国债收益率曲线,远期的即期,2026-02-06,0,2.3752,5,8,8Y
上海清算所国债收益率曲线,远期的即期,2026-02-06,0,2.2766,5,7,7Y
上海清算所国债收益率曲线,远期的即期,2026-02-06,0,2.1764,5,6,6Y
上海清算所国债收益率曲线,远期的即期,2026-02-06,0,2.0937,5,5,5Y
上海清算所国债收益率曲线,远期的即期,2026-02-06,0,2.0374,5,4,4Y
上海清算所国债收益率曲线,远期的即期,2026-02-06,0,1.9951,5,3,3Y
上海清算所国债收益率曲线,远期的即期,2026-02-06,0,1.9311,5,2,2Y
上海清算所国债收益率曲线,远期的即期,2026-02-06,0,1.9017,5,1,1Y
上海清算所国债收益率曲线,远期的即期,2026-02-06,0,2.4796,6,24,24Y
上海清算所国债收益率曲线,远期的即期,2026-02-06,0,2.4884,6,23,23Y
上海清算所国债收益率曲线,远期的即期,2026-02-06,0,2.498,6,22,22Y
上海清算所国债收益率曲线,远期的即期,2026-02-06,0,2.5086,6,21,21Y
上海清算所国债收益率曲线,远期的即期,2026-02-06,0,2.5201,6,20,20Y
上海清算所国债收益率曲线,远期的即期,2026-02-06,0,2.5328,6,19,19Y
上海清算所国债收益率曲线,远期的即期,2026-02-06,0,2.5468,6,18,18Y
上海清算所国债收益率曲线,远期的即期,2026-02-06,0,2.5623,6,17,17Y
上海清算所国债收益率曲线,远期的即期,2026-02-06,0,2.5796,6,16,16Y
上海清算所国债收益率曲线,远期的即期,2026-02-06,0,2.5991,6,15,15Y
上海清算所国债收益率曲线,远期的即期,2026-02-06,0,2.6213,6,14,14Y
