曲线名称,曲线类型,日期,标准期限(年),收益率(%),N(年),K(年),期限描述
上海清算所城投债收益率曲线(AAA),远期的到期,2026-03-04,0,2.5209,4,4,4Y
上海清算所城投债收益率曲线(AAA),远期的到期,2026-03-04,0,2.5467,4,3,3Y
上海清算所城投债收益率曲线(AAA),远期的到期,2026-03-04,0,2.228,4,2,2Y
上海清算所城投债收益率曲线(AAA),远期的到期,2026-03-04,0,2.0007,4,1,1Y
上海清算所城投债收益率曲线(AAA),远期的到期,2026-03-04,0,2.7062,5,10,10Y
上海清算所城投债收益率曲线(AAA),远期的到期,2026-03-04,0,2.7023,5,9,9Y
上海清算所城投债收益率曲线(AAA),远期的到期,2026-03-04,0,2.7008,5,8,8Y
上海清算所城投债收益率曲线(AAA),远期的到期,2026-03-04,0,2.7014,5,7,7Y
上海清算所城投债收益率曲线(AAA),远期的到期,2026-03-04,0,2.7042,5,6,6Y
上海清算所城投债收益率曲线(AAA),远期的到期,2026-03-04,0,2.7104,5,5,5Y
上海清算所城投债收益率曲线(AAA),远期的到期,2026-03-04,0,2.6853,5,4,4Y
上海清算所城投债收益率曲线(AAA),远期的到期,2026-03-04,0,2.7038,5,3,3Y
上海清算所城投债收益率曲线(AAA),远期的到期,2026-03-04,0,2.8308,5,2,2Y
上海清算所城投债收益率曲线(AAA),远期的到期,2026-03-04,0,2.4608,5,1,1Y
上海清算所城投债收益率曲线(AAA),远期的到期,2026-03-04,0,2.7374,6,9,9Y
上海清算所城投债收益率曲线(AAA),远期的到期,2026-03-04,0,2.7363,6,8,8Y
上海清算所城投债收益率曲线(AAA),远期的到期,2026-03-04,0,2.739,6,7,7Y
上海清算所城投债收益率曲线(AAA),远期的到期,2026-03-04,0,2.7455,6,6,6Y
上海清算所城投债收益率曲线(AAA),远期的到期,2026-03-04,0,2.7571,6,5,5Y
上海清算所城投债收益率曲线(AAA),远期的到期,2026-03-04,0,2.7772,6,4,4Y
上海清算所城投债收益率曲线(AAA),远期的到期,2026-03-04,0,2.7645,6,3,3Y
上海清算所城投债收益率曲线(AAA),远期的到期,2026-03-04,0,2.8307,6,2,2Y
上海清算所城投债收益率曲线(AAA),远期的到期,2026-03-04,0,3.2127,6,1,1Y
上海清算所城投债收益率曲线(AAA),远期的到期,2026-03-04,0,2.6707,7,8,8Y
上海清算所城投债收益率曲线(AAA),远期的到期,2026-03-04,0,2.6609,7,7,7Y
上海清算所城投债收益率曲线(AAA),远期的到期,2026-03-04,0,2.6526,7,6,6Y
上海清算所城投债收益率曲线(AAA),远期的到期,2026-03-04,0,2.6446,7,5,5Y
上海清算所城投债收益率曲线(AAA),远期的到期,2026-03-04,0,2.6357,7,4,4Y
上海清算所城投债收益率曲线(AAA),远期的到期,2026-03-04,0,2.6245,7,3,3Y
上海清算所城投债收益率曲线(AAA),远期的到期,2026-03-04,0,2.5319,7,2,2Y
上海清算所城投债收益率曲线(AAA),远期的到期,2026-03-04,0,2.4394,7,1,1Y
