曲线名称,曲线类型,日期,标准期限(年),收益率(%),N(年),K(年),期限描述
上海清算所铁道债收益率曲线,远期的即期,2026-02-03,0,2.8348,15,8,8Y
上海清算所铁道债收益率曲线,远期的即期,2026-02-03,0,2.8873,15,7,7Y
上海清算所铁道债收益率曲线,远期的即期,2026-02-03,0,2.9173,15,6,6Y
上海清算所铁道债收益率曲线,远期的即期,2026-02-03,0,2.9811,15,5,5Y
上海清算所铁道债收益率曲线,远期的即期,2026-02-03,0,3.0246,15,4,4Y
上海清算所铁道债收益率曲线,远期的即期,2026-02-03,0,3.1725,15,3,3Y
上海清算所铁道债收益率曲线,远期的即期,2026-02-03,0,3.2305,15,2,2Y
上海清算所铁道债收益率曲线,远期的即期,2026-02-03,0,2.8101,15,1,1Y
上海清算所铁道债收益率曲线,远期的即期,2026-02-03,0,2.7638,16,14,14Y
上海清算所铁道债收益率曲线,远期的即期,2026-02-03,0,2.7583,16,13,13Y
上海清算所铁道债收益率曲线,远期的即期,2026-02-03,0,2.754,16,12,12Y
上海清算所铁道债收益率曲线,远期的即期,2026-02-03,0,2.7504,16,11,11Y
上海清算所铁道债收益率曲线,远期的即期,2026-02-03,0,2.7592,16,10,10Y
上海清算所铁道债收益率曲线,远期的即期,2026-02-03,0,2.7864,16,9,9Y
上海清算所铁道债收益率曲线,远期的即期,2026-02-03,0,2.8056,16,8,8Y
上海清算所铁道债收益率曲线,远期的即期,2026-02-03,0,2.8384,16,7,7Y
上海清算所铁道债收益率曲线,远期的即期,2026-02-03,0,2.9001,16,6,6Y
上海清算所铁道债收益率曲线,远期的即期,2026-02-03,0,2.9388,16,5,5Y
上海清算所铁道债收益率曲线,远期的即期,2026-02-03,0,3.0239,16,4,4Y
上海清算所铁道债收益率曲线,远期的即期,2026-02-03,0,3.0961,16,3,3Y
上海清算所铁道债收益率曲线,远期的即期,2026-02-03,0,3.3541,16,2,2Y
上海清算所铁道债收益率曲线,远期的即期,2026-02-03,0,3.6526,16,1,1Y
上海清算所铁道债收益率曲线,远期的即期,2026-02-03,0,2.6958,17,13,13Y
上海清算所铁道债收益率曲线,远期的即期,2026-02-03,0,2.6842,17,12,12Y
上海清算所铁道债收益率曲线,远期的即期,2026-02-03,0,2.6727,17,11,11Y
上海清算所铁道债收益率曲线,远期的即期,2026-02-03,0,2.6606,17,10,10Y
上海清算所铁道债收益率曲线,远期的即期,2026-02-03,0,2.6604,17,9,9Y
上海清算所铁道债收益率曲线,远期的即期,2026-02-03,0,2.6786,17,8,8Y
上海清算所铁道债收益率曲线,远期的即期,2026-02-03,0,2.6852,17,7,7Y
上海清算所铁道债收益率曲线,远期的即期,2026-02-03,0,2.7033,17,6,6Y
上海清算所铁道债收益率曲线,远期的即期,2026-02-03,0,2.7503,17,5,5Y
上海清算所铁道债收益率曲线,远期的即期,2026-02-03,0,2.7611,17,4,4Y
上海清算所铁道债收益率曲线,远期的即期,2026-02-03,0,2.8151,17,3,3Y
上海清算所铁道债收益率曲线,远期的即期,2026-02-03,0,2.8191,17,2,2Y
上海清算所铁道债收益率曲线,远期的即期,2026-02-03,0,3.0566,17,1,1Y
上海清算所铁道债收益率曲线,远期的即期,2026-02-03,0,2.6658,18,12,12Y
上海清算所铁道债收益率曲线,远期的即期,2026-02-03,0,2.6504,18,11,11Y
上海清算所铁道债收益率曲线,远期的即期,2026-02-03,0,2.6344,18,10,10Y
上海清算所铁道债收益率曲线,远期的即期,2026-02-03,0,2.6167,18,9,9Y
上海清算所铁道债收益率曲线,远期的即期,2026-02-03,0,2.6109,18,8,8Y
上海清算所铁道债收益率曲线,远期的即期,2026-02-03,0,2.6247,18,7,7Y
上海清算所铁道债收益率曲线,远期的即期,2026-02-03,0,2.6234,18,6,6Y
上海清算所铁道债收益率曲线,远期的即期,2026-02-03,0,2.6328,18,5,5Y
上海清算所铁道债收益率曲线,远期的即期,2026-02-03,0,2.6739,18,4,4Y
上海清算所铁道债收益率曲线,远期的即期,2026-02-03,0,2.6628,18,3,3Y
上海清算所铁道债收益率曲线,远期的即期,2026-02-03,0,2.6946,18,2,2Y
上海清算所铁道债收益率曲线,远期的即期,2026-02-03,0,2.5821,18,1,1Y
上海清算所铁道债收益率曲线,远期的即期,2026-02-03,0,2.6734,19,11,11Y
上海清算所铁道债收益率曲线,远期的即期,2026-02-03,0,2.6572,19,10,10Y
上海清算所铁道债收益率曲线,远期的即期,2026-02-03,0,2.6402,19,9,9Y
上海清算所铁道债收益率曲线,远期的即期,2026-02-03,0,2.6211,19,8,8Y
上海清算所铁道债收益率曲线,远期的即期,2026-02-03,0,2.6151,19,7,7Y
上海清算所铁道债收益率曲线,远期的即期,2026-02-03,0,2.6318,19,6,6Y
上海清算所铁道债收益率曲线,远期的即期,2026-02-03,0,2.6316,19,5,5Y
上海清算所铁道债收益率曲线,远期的即期,2026-02-03,0,2.6455,19,4,4Y
上海清算所铁道债收益率曲线,远期的即期,2026-02-03,0,2.7045,19,3,3Y
上海清算所铁道债收益率曲线,远期的即期,2026-02-03,0,2.7032,19,2,2Y
上海清算所铁道债收益率曲线,远期的即期,2026-02-03,0,2.8073,19,1,1Y
上海清算所铁道债收益率曲线,远期的即期,2026-02-03,0,2.66,20,10,10Y
上海清算所铁道债收益率曲线,远期的即期,2026-02-03,0,2.6405,20,9,9Y
上海清算所铁道债收益率曲线,远期的即期,2026-02-03,0,2.6193,20,8,8Y
