曲线名称,曲线类型,日期,标准期限(年),收益率(%),N(年),K(年),期限描述
上海清算所中短期票据收益率曲线(AA-),远期的即期,2026-02-05,0,5.0682,5,5,5Y
上海清算所中短期票据收益率曲线(AA-),远期的即期,2026-02-05,0,4.8486,5,4,4Y
上海清算所中短期票据收益率曲线(AA-),远期的即期,2026-02-05,0,4.8336,5,3,3Y
上海清算所中短期票据收益率曲线(AA-),远期的即期,2026-02-05,0,4.5963,5,2,2Y
上海清算所中短期票据收益率曲线(AA-),远期的即期,2026-02-05,0,4.9612,5,1,1Y
上海清算所中短期票据收益率曲线(AA-),远期的即期,2026-02-05,0,5.095,6,4,4Y
上海清算所中短期票据收益率曲线(AA-),远期的即期,2026-02-05,0,4.8111,6,3,3Y
上海清算所中短期票据收益率曲线(AA-),远期的即期,2026-02-05,0,4.7699,6,2,2Y
上海清算所中短期票据收益率曲线(AA-),远期的即期,2026-02-05,0,4.2327,6,1,1Y
上海清算所中短期票据收益率曲线(AA-),远期的即期,2026-02-05,0,5.3841,7,3,3Y
上海清算所中短期票据收益率曲线(AA-),远期的即期,2026-02-05,0,5.1016,7,2,2Y
上海清算所中短期票据收益率曲线(AA-),远期的即期,2026-02-05,0,5.3098,7,1,1Y
上海清算所中短期票据收益率曲线(AA-),远期的即期,2026-02-05,0,5.4212,8,2,2Y
上海清算所中短期票据收益率曲线(AA-),远期的即期,2026-02-05,0,4.8937,8,1,1Y
上海清算所中短期票据收益率曲线(AA-),远期的即期,2026-02-05,0,5.9513,9,1,1Y
上海清算所中短期票据收益率曲线(AA-),远期的即期,2026-02-06,0,4.2674,1,9,9Y
上海清算所中短期票据收益率曲线(AA-),远期的即期,2026-02-06,0,4.0566,1,8,8Y
上海清算所中短期票据收益率曲线(AA-),远期的即期,2026-02-06,0,3.9399,1,7,7Y
上海清算所中短期票据收益率曲线(AA-),远期的即期,2026-02-06,0,3.7168,1,6,6Y
上海清算所中短期票据收益率曲线(AA-),远期的即期,2026-02-06,0,3.5963,1,5,5Y
上海清算所中短期票据收益率曲线(AA-),远期的即期,2026-02-06,0,3.2844,1,4,4Y
上海清算所中短期票据收益率曲线(AA-),远期的即期,2026-02-06,0,3.0901,1,3,3Y
上海清算所中短期票据收益率曲线(AA-),远期的即期,2026-02-06,0,2.8877,1,2,2Y
上海清算所中短期票据收益率曲线(AA-),远期的即期,2026-02-06,0,2.6494,1,1,1Y
上海清算所中短期票据收益率曲线(AA-),远期的即期,2026-02-06,0,4.4715,2,8,8Y
上海清算所中短期票据收益率曲线(AA-),远期的即期,2026-02-06,0,4.2592,2,7,7Y
上海清算所中短期票据收益率曲线(AA-),远期的即期,2026-02-06,0,4.1566,2,6,6Y
