曲线名称,曲线类型,日期,标准期限(年),收益率(%),N(年),K(年),期限描述
上海清算所中资美元债收益率曲线(BBB),远期的即期,2026-02-13,0,7.8387,13,15,15Y
上海清算所中资美元债收益率曲线(BBB),远期的即期,2026-02-13,0,7.6536,13,14,14Y
上海清算所中资美元债收益率曲线(BBB),远期的即期,2026-02-13,0,7.4831,13,13,13Y
上海清算所中资美元债收益率曲线(BBB),远期的即期,2026-02-13,0,7.3083,13,12,12Y
上海清算所中资美元债收益率曲线(BBB),远期的即期,2026-02-13,0,7.1669,13,11,11Y
上海清算所中资美元债收益率曲线(BBB),远期的即期,2026-02-13,0,7.0245,13,10,10Y
上海清算所中资美元债收益率曲线(BBB),远期的即期,2026-02-13,0,6.8913,13,9,9Y
上海清算所中资美元债收益率曲线(BBB),远期的即期,2026-02-13,0,6.761,13,8,8Y
上海清算所中资美元债收益率曲线(BBB),远期的即期,2026-02-13,0,6.6471,13,7,7Y
上海清算所中资美元债收益率曲线(BBB),远期的即期,2026-02-13,0,6.5042,13,6,6Y
上海清算所中资美元债收益率曲线(BBB),远期的即期,2026-02-13,0,6.4259,13,5,5Y
上海清算所中资美元债收益率曲线(BBB),远期的即期,2026-02-13,0,6.3593,13,4,4Y
上海清算所中资美元债收益率曲线(BBB),远期的即期,2026-02-13,0,6.2937,13,3,3Y
上海清算所中资美元债收益率曲线(BBB),远期的即期,2026-02-13,0,6.1787,13,2,2Y
上海清算所中资美元债收益率曲线(BBB),远期的即期,2026-02-13,0,6.1794,13,1,1Y
上海清算所中资美元债收益率曲线(BBB),远期的即期,2026-02-13,0,8.409,14,16,16Y
上海清算所中资美元债收益率曲线(BBB),远期的即期,2026-02-13,0,8.1659,14,15,15Y
上海清算所中资美元债收益率曲线(BBB),远期的即期,2026-02-13,0,7.9582,14,14,14Y
上海清算所中资美元债收益率曲线(BBB),远期的即期,2026-02-13,0,7.7679,14,13,13Y
上海清算所中资美元债收益率曲线(BBB),远期的即期,2026-02-13,0,7.5925,14,12,12Y
上海清算所中资美元债收益率曲线(BBB),远期的即期,2026-02-13,0,7.4115,14,11,11Y
上海清算所中资美元债收益率曲线(BBB),远期的即期,2026-02-13,0,7.2661,14,10,10Y
上海清算所中资美元债收益率曲线(BBB),远期的即期,2026-02-13,0,7.1188,14,9,9Y
上海清算所中资美元债收益率曲线(BBB),远期的即期,2026-02-13,0,6.9807,14,8,8Y
上海清算所中资美元债收益率曲线(BBB),远期的即期,2026-02-13,0,6.8443,14,7,7Y
上海清算所中资美元债收益率曲线(BBB),远期的即期,2026-02-13,0,6.7253,14,6,6Y
上海清算所中资美元债收益率曲线(BBB),远期的即期,2026-02-13,0,6.5692,14,5,5Y
上海清算所中资美元债收益率曲线(BBB),远期的即期,2026-02-13,0,6.4876,14,4,4Y
上海清算所中资美元债收益率曲线(BBB),远期的即期,2026-02-13,0,6.4194,14,3,3Y
上海清算所中资美元债收益率曲线(BBB),远期的即期,2026-02-13,0,6.3508,14,2,2Y
上海清算所中资美元债收益率曲线(BBB),远期的即期,2026-02-13,0,6.1781,14,1,1Y
上海清算所中资美元债收益率曲线(BBB),远期的即期,2026-02-13,0,8.5593,15,15,15Y
上海清算所中资美元债收益率曲线(BBB),远期的即期,2026-02-13,0,8.3093,15,14,14Y
上海清算所中资美元债收益率曲线(BBB),远期的即期,2026-02-13,0,8.0964,15,13,13Y
上海清算所中资美元债收益率曲线(BBB),远期的即期,2026-02-13,0,7.9014,15,12,12Y
上海清算所中资美元债收益率曲线(BBB),远期的即期,2026-02-13,0,7.722,15,11,11Y
上海清算所中资美元债收益率曲线(BBB),远期的即期,2026-02-13,0,7.5356,15,10,10Y
上海清算所中资美元债收益率曲线(BBB),远期的即期,2026-02-13,0,7.3877,15,9,9Y
上海清算所中资美元债收益率曲线(BBB),远期的即期,2026-02-13,0,7.237,15,8,8Y
上海清算所中资美元债收益率曲线(BBB),远期的即期,2026-02-13,0,7.0958,15,7,7Y
