曲线名称,曲线类型,日期,标准期限(年),收益率(%),N(年),K(年),期限描述
上海清算所中短期票据收益率曲线(A+),即期,2026-02-03,0,4.2401,,,0M
上海清算所中短期票据收益率曲线(A+),即期,2026-02-04,0,4.2336,,,0M
上海清算所中短期票据收益率曲线(A+),即期,2026-02-05,0,4.2347,,,0M
上海清算所中短期票据收益率曲线(A+),即期,2026-02-06,0,4.2478,,,0M
上海清算所中短期票据收益率曲线(A+),即期,2026-02-09,0,4.2535,,,0M
上海清算所中短期票据收益率曲线(A+),即期,2026-02-10,0,4.2466,,,0M
上海清算所中短期票据收益率曲线(A+),即期,2026-02-11,0,4.2495,,,0M
上海清算所中短期票据收益率曲线(A+),即期,2026-02-12,0,4.262,,,0M
上海清算所中短期票据收益率曲线(A+),即期,2026-02-13,0,4.2696,,,0M
上海清算所中短期票据收益率曲线(A+),即期,2026-02-14,0,4.1951,,,0M
上海清算所中短期票据收益率曲线(A+),即期,2026-02-24,0,4.2172,,,0M
上海清算所中短期票据收益率曲线(A+),即期,2026-02-25,0,4.2555,,,0M
上海清算所中短期票据收益率曲线(A+),即期,2026-02-26,0,4.2629,,,0M
上海清算所中短期票据收益率曲线(A+),即期,2026-02-27,0,4.2518,,,0M
上海清算所中短期票据收益率曲线(A+),即期,2026-02-28,0,4.2546,,,0M
上海清算所中短期票据收益率曲线(A+),即期,2026-03-02,0,4.2618,,,0M
上海清算所中短期票据收益率曲线(A+),即期,2026-03-03,0,4.2568,,,0M
上海清算所中短期票据收益率曲线(A+),即期,2026-03-04,0,4.2429,,,0M
上海清算所中短期票据收益率曲线(A+),即期,2026-03-05,0,4.2374,,,0M
上海清算所中短期票据收益率曲线(A+),即期,2026-02-03,0.08,4.2461,,,1M
上海清算所中短期票据收益率曲线(A+),即期,2026-02-04,0.08,4.2584,,,1M
上海清算所中短期票据收益率曲线(A+),即期,2026-02-05,0.08,4.2557,,,1M
上海清算所中短期票据收益率曲线(A+),即期,2026-02-06,0.08,4.2851,,,1M
上海清算所中短期票据收益率曲线(A+),即期,2026-02-09,0.08,4.2913,,,1M
上海清算所中短期票据收益率曲线(A+),即期,2026-02-10,0.08,4.2851,,,1M
上海清算所中短期票据收益率曲线(A+),即期,2026-02-11,0.08,4.294,,,1M
上海清算所中短期票据收益率曲线(A+),即期,2026-02-12,0.08,4.2997,,,1M
上海清算所中短期票据收益率曲线(A+),即期,2026-02-13,0.08,4.2881,,,1M
上海清算所中短期票据收益率曲线(A+),即期,2026-02-14,0.08,4.231,,,1M
上海清算所中短期票据收益率曲线(A+),即期,2026-02-24,0.08,4.2471,,,1M
上海清算所中短期票据收益率曲线(A+),即期,2026-02-25,0.08,4.2552,,,1M
上海清算所中短期票据收益率曲线(A+),即期,2026-02-26,0.08,4.2866,,,1M
上海清算所中短期票据收益率曲线(A+),即期,2026-02-27,0.08,4.2743,,,1M
上海清算所中短期票据收益率曲线(A+),即期,2026-02-28,0.08,4.2685,,,1M
上海清算所中短期票据收益率曲线(A+),即期,2026-03-02,0.08,4.2936,,,1M
上海清算所中短期票据收益率曲线(A+),即期,2026-03-03,0.08,4.2816,,,1M
上海清算所中短期票据收益率曲线(A+),即期,2026-03-04,0.08,4.2655,,,1M
上海清算所中短期票据收益率曲线(A+),即期,2026-03-05,0.08,4.2598,,,1M
上海清算所中短期票据收益率曲线(A+),即期,2026-02-03,0.25,4.3061,,,3M
上海清算所中短期票据收益率曲线(A+),即期,2026-02-04,0.25,4.3117,,,3M
上海清算所中短期票据收益率曲线(A+),即期,2026-02-05,0.25,4.3041,,,3M
上海清算所中短期票据收益率曲线(A+),即期,2026-02-06,0.25,4.3132,,,3M
上海清算所中短期票据收益率曲线(A+),即期,2026-02-09,0.25,4.3116,,,3M
